"Date","M001","M002","M003","M004","M005","M006","M007","M008","M009","M010","M011","M012"
2015-06-25,2.3,3.1,1.6,7.9,8.1,0.9,4.9,2.1,1.4,2.3,1.4,1.3
2015-06-26,0.4,1.2,1,6.8,8.1,0.5,2.9,1.1,1,1.1,0.4,0.7
2015-06-27,0,0,0,1.1,2.1,0,1.4,0.4,0,0.6,0,0
2015-06-28,0,0,0.1,0.5,3,1.1000001,0.7,0.2,0,0.2,0,0
2015-06-29,0,0,0,0.8,2.6,0,0.7,0.1,0,0,0,0
2015-06-30,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-01,0,0.1,0,0,0,0.8,0,0,0,0,0.1,0
2015-07-02,0,0,0,1.6,0.1,0,0,0,0,0,0,0
2015-07-03,0,0.1,0,0,0,0,0.1,0,0,0,0,0
2015-07-04,0.5,0.4,2,NA,NA,1.8,4.3,1.6,0.4,0.6,0,0.5
2015-07-05,NA,2.8,3.1,4.6,NA,5.7000002,4.4,3.3,2.1,1.7,2.5,1.5
2015-07-06,11.3,0.3,1.1,1.2,4.2,8.1,2.8,19.9,0.2,8.2,9.7,0.5
2015-07-07,1.6,0,0.8,0.8,1.6,8.4000002,0.4,5.9,0.3,0.5,0.5,0.2
2015-07-08,0.2,1.1,1,10.5,8.8,3.4,3.3,6.4,0.4,6.3,1,1.3
2015-07-09,0,0,0.8,0.2,0.4,0,0.3,0,0,0,0,0
2015-07-10,0.1,0,0.7,1.8,NA,1.3,2.4,1.4,0,0.1,0,0
2015-07-11,0,0,0.4,0.2,3,0.1,1.2,0.1,0,0,0,0
2015-07-12,1.5,0.4,0.1,5.6,7,6.3000001,3.3,2.7,0.9,0.8,0.6,1
2015-07-13,0,0,0.1,0.1,0,0.1,0,0.1,0,0,0,0
2015-07-14,0,0,0,0.1,0,0,0.1,0,0,0,0,0
2015-07-15,0.7,0.2,0,0.7,3.8,0,1.8,2.2,0.1,1.3,0.2,0.1
2015-07-16,0.4,0.2,0,3.3,2.6,0.5,1.2,0.5,0,0.4,0,0.2
2015-07-17,0,0,0,0.1,0,0,0,0,0,0,0,0
2015-07-18,3,0.9,0.1,5.9,8.7,3.8,2.9,2.8,1.3,1.6,1.5,2.4
2015-07-19,1.3,0.6,0,2.7,1.3,0.1,1.8,1.5,0.6,1.1,0.3,0.4
2015-07-20,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-21,2.8,0.8,0,2.9,4.2,1.3,2,2.7,0.6,0.2,0.6,0.5
2015-07-22,9.4,3.2,0,NA,NA,5.8000001,8.4,NA,3.5,7.6,7.5,4.9
2015-07-23,1.1,1,0,6.2,NA,2.3,4.5,1.6,1.3,1.8,0.7,0.9
2015-07-24,0,0,0.1,0,0,0,0,0,0.1,0,0,0
2015-07-25,0,0,0.1,0.2,0.6,0,0.1,0,0,0,0,0.1
2015-07-26,0,0,0.4,0.8,1.3,0,0.5,0,0,0.3,0,0
2015-07-27,1.1,0.1,1.9,4.1,4.9,0.7,4.3,2.6,0.2,0.9,0.6,0.4
2015-07-28,1.1,1,1.8,6,NA,0.7,3.8,2.3,0.4,1.7,1.1,1
2015-07-29,1.2,0.5,1.8,2.1,10.4,2.4,2.4,6.4,2.4,5,1.2,0.9
2015-07-30,3,3.9,3.9,9.7,NA,3.5,NA,3.5,2.4,2.9,2.7,2.7
2015-07-31,0.2,0.4,0.1,2.9,5.5,0.1,1.7,0.9,0.3,0.7,0,0.2
2015-08-01,0.2,0.1,0,2,2.3,0,0.8,0.4,0.1,0.2,0,0
2015-08-02,0.4,0.2,0,3.1,2.7,0.2,0.6,1,0.1,0.6,0,0.4
2015-08-03,0,0,0,0.2,0.4,0,0.1,0,0,0,0,0
2015-08-04,0,0,0.1,0.1,0.4,0,0.1,0,0,0,0,0
2015-08-05,0,0,0.3,0.6,1.2,0,0.3,0.2,0,0,0,0
2015-08-06,0,0,0,0,0,0,0,0,0.1,0,0,0
2015-08-07,0,0,0,0,0,0,0.1,0,0,0,0,0
2015-08-08,0.7,0,0.1,0.6,0.5,0.2,0.5,1,0.6,1.4,0.2,1.5
2015-08-09,6.4,5.3000001,NA,2,3.9,2.9,6.5,16.9,2.8,1.3,4.6000001,5.9
2015-08-10,0,0,0.1,0.3,0,3,0.4,0.1,0.1,0.1,0,0
2015-08-11,0.2,0.1,0.2,0.1,1.2,0,1.1,0.7,0,0,0.1,0.3
2015-08-12,0,0,0,0.8,2.2,0,0.8,0.5,0,0,0,0
2015-08-13,0,0,0,0.1,0.4,0,0.1,0.1,0,0,0,0
2015-08-14,0.8,0.2,1.2,2.7,NA,1,2.1,1.6,0.3,1.3,NA,0.4
2015-08-15,0.2,0.2,0.3,NA,NA,1.2,2.4,1.1,0.1,1,0,0.1
2015-08-16,0.2,0,0,0.2,3.1,0.1,0.6,0.6,0,0.2,0.2,0
2015-08-17,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-18,0,0,0.1,0,0,0,0,0,0,0,0,0
2015-08-19,0,0,0,0.4,0.8,0,0.1,0,0,0,0,0
2015-08-20,0,0,0,0,0.2,0.4,0,0,0,0,0.1,0
2015-08-21,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-22,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-23,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-24,0.1,0,0,0.2,0.2,0,0.3,0.9,0,0,0,0
2015-08-25,0.2,0,0,0.3,1.2,0.1,0.2,0.4,0.1,0.6,0.1,0
2015-08-26,0,0,0,1.1,0.1,0,0.4,0.1,0,0,0,0
2015-08-27,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0
2015-08-28,1,0.2,0.8,7.4,3.9,0.8,2.4,0.5,0.4,0.1,0.2,1
2015-08-29,0.1,0,0.2,2.4,4.6,0,1.9,0.1,0,0.4,0,0.1
2015-08-30,0,0,0,1.4,2.5,0.3,0.4,0.7,0,0.9,1.1,0
